No.,Alloys,¦¤Hsss£¬MPa,E,K,G,¦Í,Rm,Ri,Rc,Vm,Hs,Hc,VEC,e/a,Ew,Xp,Xa,Xm,Xr,Ec,¦ÄE,¦ÄK,¦ÄG,¦Ä¦Í,¦ÄRm,¦ÄRi,¦ÄRc,¦ÄVm,¦ÄHs,¦ÄHc,¦ÄVEC,¦Äe/a,¦ÄEw,¦ÄXp,¦ÄXa,¦ÄXm,¦ÄXr,¦ÄEc,¦¤E,¦¤K,¦¤G,¦¤¦Í,¦¤Rm,¦¤Ri,¦¤Rc,¦¤Vm,¦¤Hs,¦¤Hc,¦¤VEC,¦¤e/a,¦¤ew,¦¤Xp,¦¤Xa,¦¤Xm,¦¤Xr,¦¤Ec
1,CrCuFeNi,734,205,158.775,80.175,0.2875,128.95,69,116.5,7.005,3.8375,5.5275,8.75,1.5,4.7,1.8,1.795,1.6275,1.675,4.0775,0.257684,0.088295,0.296573,0.16749,0.032981,0.226616,0.009597,0.035048,0.084628,0.049419,0.219461,0.333333,0.056793,0.068041,0.049281,0.207885,0.047854,0.088262,0.033314,4.35E-03,4.80E-02,1.81E-02,7.27E-04,3.57E-02,3.68E-05,8.41E-04,3.90E-03,1.22E-03,2.29E-02,0.00E+00,2.26E-03,2.31E-03,1.63E-03,2.81E-02,1.07E-03,5.18E-03
2,Co5(CrCuFeNi)95,745,205.2,159.9113,80.26625,0.288625,128.7625,68.65,116.475,6.98825,3.840625,5.530125,8.7625,1.525,4.715,1.805,1.79725,1.632125,1.67625,4.093125,0.25095,0.090888,0.288778,0.163498,0.032813,0.223113,0.009403,0.035801,0.082494,0.048189,0.21369,0.327459,0.056895,0.067228,0.048282,0.202424,0.046721,0.087299,0.031879,0.004541,0.045225,0.017619,0.000737,0.037227,3.99E-05,0.000721,0.003864,0.001239,0.023569,0.023297,0.001976,0.003062,0.001594,0.027051,0.001132,5.16E-03
3,Co10(CrCuFeNi)90,765,205.4,161.0475,80.3575,0.28975,128.575,68.3,116.45,6.9715,3.84375,5.53275,8.775,1.55,4.73,1.81,1.7995,1.63675,1.6775,4.10875,0.244054,0.0928,0.280798,0.159373,0.032577,0.219356,0.009199,0.036387,0.080303,0.046925,0.207782,0.320964,0.056818,0.066298,0.047235,0.196834,0.045551,0.086171,0.030289,0.004679,0.04253,0.017045,0.000742,0.036158,3.84E-05,0.000609,0.003691,0.001185,0.022436,0.019901,0.00171,0.003022,0.001553,0.025941,1.09E-03,0.005102
4,Co15(CrCuFeNi)85,825,205.6,162.1838,80.44875,0.290875,128.3875,67.95,116.425,6.95475,3.846875,5.535375,8.7875,1.575,4.745,1.815,1.80175,1.641375,1.67875,4.124375,0.236981,0.094097,0.272617,0.155106,0.032272,0.215323,0.008985,0.036811,0.078049,0.045623,0.201726,0.313869,0.056564,0.065249,0.046135,0.191102,0.044341,0.084876,0.02869,0.004765,0.03987,0.016426,0.000743,0.035061,3.69E-05,0.000504,0.003517,0.00113,0.021295,0.0174,0.001463,0.002967,0.001507,0.024792,0.001039,0.00502
5,Co2CrCuFeNi,923,206.3333,166.35,80.78333,0.295,127.7,66.66667,116.3333,6.893333,3.858333,5.545,8.833333,1.666667,4.8,1.833333,1.81,1.658333,1.683333,4.181667,0.209238,0.094244,0.240563,0.138043,0.030514,0.1978,0.008104,0.03702,0.069148,0.04047,0.178,0.282843,0.054127,0.060302,0.04159,0.168644,0.039505,0.078606,0.022755,0.004666,0.030426,0.013789,0.000704,0.03145,3.28E-05,0.000262,0.002854,0.00092,0.017029,0.02,0.000723,0.002645,0.001297,0.020262,0.000862,0.004496
6,CoCuFeNi,846,187.5,164.15,71.85,0.3125,126.25,69,116,6.865,3.975,5.64,9.5,1.75,4.825,1.875,1.8425,1.5575,1.71,4.15,0.178428,0.104876,0.19107,0.057131,0.010882,0.226616,0.006096,0.034494,0.04219,0.026977,0.117688,0.247436,0.054095,0.023094,0.01553,0.178185,0.026478,0.092873,0.0224,0.006282,0.025796,0.00192,2.54E-05,0.035707,0,0.000199,0.000712,0.000318,0.00554,0.040816,0.000805,0.000356,0.000133,0.022194,0.00041,0.006078
7,CrFeMnNi,810,222,154.325,87.95,0.26375,129.6,60,116.5,7.065,3.6875,5.375,7.75,1.75,4.5625,1.7,1.77,1.8675,1.6375,3.935,0.149906,0.136326,0.180721,0.147682,0.032609,0.020412,0.009597,0.040944,0.068722,0.041215,0.190841,0.247436,0.082511,0.093008,0.0471,0.083762,0.043263,0.152027,0.015867,0.01203,0.022615,0.009119,0.0006,0.000208,3.68E-05,0.001127,0.002344,0.000945,0.020812,0.040816,0.004098,0.002595,0.001117,0.001968,0.001179,0.016194
8,Cr5(CoCuFeNi)95,817,192.075,163.9425,74.0225,0.307375,126.7375,68.65,116.1,6.88325,3.94375,5.6145,9.325,1.7125,4.80875,1.86125,1.832875,1.579625,1.7025,4.1475,0.198998,0.102499,0.221455,0.092126,0.019818,0.223113,0.007024,0.035467,0.053953,0.033009,0.142646,0.26429,0.054916,0.039384,0.027486,0.181799,0.032259,0.090614,0.024402,0.00601,0.028287,0.005001,0.000261,0.037227,2.11E-05,0.000304,0.001104,0.000374,0.007374,0.034418,0.00099,0.000882,0.000494,0.022982,0.00035,0.005962
9,Cr10(CoCuFeNi)90,846,196.65,163.735,76.195,0.30225,127.225,68.3,116.2,6.9015,3.9125,5.589,9.15,1.675,4.7925,1.8475,1.82325,1.60175,1.695,4.145,0.213385,0.100036,0.241832,0.116149,0.02517,0.219356,0.007745,0.036212,0.062851,0.037635,0.163113,0.279627,0.055528,0.049884,0.034999,0.184083,0.036702,0.088287,0.025781,0.005593,0.029939,0.009167,0.000475,0.036158,2.33E-05,0.000291,0.002065,0.000674,0.011791,0.028069,0.001053,0.001646,0.000884,0.023465,0.000632,0.005607
10,Cr15(CoCuFeNi)85,856,201.225,163.5275,78.3675,0.297125,127.7125,67.95,116.3,6.91975,3.88125,5.5635,8.975,1.6375,4.77625,1.83375,1.813625,1.623875,1.6875,4.1425,0.223289,0.097482,0.255496,0.135064,0.029008,0.215323,0.008314,0.036745,0.069951,0.041318,0.180501,0.293571,0.055935,0.057805,0.040595,0.185185,0.040241,0.085888,0.026615,0.00519,0.033121,0.012775,0.000632,0.035061,3.06E-05,0.000354,0.002805,0.000909,0.01648,0.021794,0.001153,0.002365,0.001209,0.023666,0.000845,0.005256
11,Cr2CoCuFeNi,891,218,162.7667,86.33333,0.278333,129.5,66.66667,116.6667,6.986667,3.766667,5.47,8.333333,1.5,4.716667,1.783333,1.778333,1.705,1.66,4.133333,0.2342,0.087191,0.270453,0.181329,0.036534,0.1978,0.009476,0.037045,0.086255,0.049473,0.226274,0.333333,0.055647,0.075348,0.052692,0.18064,0.048067,0.076349,0.026986,0.003873,0.037105,0.019799,0.000811,0.03145,4.22E-05,0.000501,0.004076,0.001279,0.025867,0.018519,0.001373,0.003508,0.001711,0.022383,0.001185,0.004016
12,CoCrCuNi,1018,204.5,164.15,80.425,0.2925,128.4,69.75,116.5,6.9,3.875,5.565,9,1.5,4.825,1.825,1.805,1.64,1.69,4.105,0.258071,0.104876,0.295808,0.168139,0.035434,0.217991,0.009597,0.039822,0.082872,0.048058,0.20787,0.333333,0.054095,0.07118,0.050245,0.207675,0.046025,0.092096,0.033058,0.006282,0.046914,0.018993,0.00087,0.032322,3.68E-05,0.00034,0.004579,0.001526,0.024691,0,0.000805,0.003378,0.00175,0.028554,0.001471,0.005611
13,Fe5(CoCrCuNi)95,1016,204.825,163.9425,80.45375,0.292375,128.35,69.2125,116.475,6.9095,3.86875,5.55825,8.95,1.525,4.80875,1.82375,1.80475,1.6415,1.6875,4.11375,0.251232,0.102499,0.288219,0.163963,0.034592,0.21678,0.009403,0.039221,0.08121,0.047196,0.205188,0.327459,0.054916,0.06949,0.048983,0.202271,0.045388,0.090052,0.03165,0.00601,0.044551,0.018849,0.000841,0.034488,3.99E-05,0.000477,0.004255,0.001406,0.025795,0.023297,0.00099,0.003566,0.001746,0.027774,0.001343,0.005458
14,Fe10(CoCrCuNi)90,927,205.15,163.735,80.4825,0.29225,128.3,68.675,116.45,6.919,3.8625,5.5515,8.9,1.55,4.7925,1.8225,1.8045,1.643,1.685,4.1225,0.244237,0.100036,0.280436,0.159668,0.033723,0.215227,0.009199,0.038565,0.079469,0.046281,0.202247,0.320964,0.055528,0.067745,0.047687,0.196735,0.044688,0.087926,0.030113,0.005593,0.042105,0.017816,0.000807,0.033636,3.84E-05,0.000448,0.00394,0.001291,0.023861,0.019901,0.001053,0.003338,0.001649,0.026392,0.00122,0.00529
15,Fe15(CoCrCuNi)85,925,205.475,163.5275,80.51125,0.292125,128.25,68.1375,116.425,6.9285,3.85625,5.54475,8.85,1.575,4.77625,1.82125,1.80425,1.6445,1.6825,4.13125,0.23707,0.097482,0.272441,0.155246,0.032825,0.213307,0.008985,0.037852,0.077644,0.045311,0.199027,0.313869,0.055935,0.065942,0.046353,0.191054,0.043923,0.085714,0.028609,0.00519,0.03967,0.016787,0.000773,0.033808,3.69E-05,0.000426,0.003635,0.00118,0.021976,0.0174,0.001153,0.003116,0.001552,0.025003,0.001103,0.005108
16,Fe2CoCrCuNi,819,206.6667,162.7667,80.61667,0.291667,128.0667,66.16667,116.3333,6.963333,3.833333,5.52,8.666667,1.666667,4.716667,1.816667,1.803333,1.65,1.673333,4.163333,0.209031,0.087191,0.240976,0.137737,0.02924,0.202657,0.008104,0.034692,0.070107,0.041205,0.184455,0.282843,0.055647,0.058744,0.041083,0.168756,0.040483,0.076745,0.022915,0.003873,0.030841,0.013056,0.000639,0.033221,3.28E-05,0.000405,0.002599,0.000812,0.015533,0.02,0.001373,0.002343,0.001204,0.019841,0.000722,0.004321
17,FeCoCrMnNi,737,219.4,159.76,86.76,0.273,128.72,60.4,116.4,6.986,3.73,5.416,8,1.8,4.65,1.74,1.784,1.838,1.65,4.026,0.137724,0.136025,0.166139,0.144491,0.032393,0.022458,0.008761,0.043395,0.064899,0.039594,0.176777,0.222222,0.081607,0.09338,0.044646,0.082613,0.041283,0.140382,0.014466,0.012387,0.02104,0.009875,0.000619,0.000132,3.54E-05,0.000598,0.00207,0.000588,0.009375,0.037037,0.00259,0.003567,0.001112,0.002056,0.000727,0.015026
18,Ni10(CoCrCuFe)90,911,206.525,161.5725,81.1075,0.28975,128.65,68.675,116.575,6.9815,3.825,5.5165,8.65,1.55,4.71125,1.81,1.7945,1.63175,1.67125,4.1025,0.242566,0.096351,0.27749,0.159373,0.032037,0.215227,0.008112,0.034322,0.078431,0.045677,0.204448,0.320964,0.051529,0.066298,0.045254,0.196428,0.043173,0.084961,0.03086,0.004849,0.039987,0.017045,0.000725,0.033636,3.06E-05,0.000394,0.003383,0.001075,0.020749,0.019901,0.000829,0.003022,0.001457,0.025602,0.00093,0.005015
19,Ni15(CoCrCuFe)85,888,206.1625,162.4463,80.82375,0.290875,128.425,68.1375,116.4875,6.95975,3.8375,5.52725,8.725,1.575,4.735625,1.815,1.79925,1.638875,1.675625,4.12125,0.236257,0.095737,0.271006,0.155106,0.032015,0.213307,0.008476,0.035855,0.077151,0.045024,0.200143,0.313869,0.054152,0.065249,0.045193,0.190908,0.043209,0.084305,0.028961,0.004843,0.038664,0.016426,0.000734,0.033808,3.21E-05,0.000349,0.003373,0.001078,0.020517,0.0174,0.001079,0.002967,0.001462,0.024635,0.000967,0.00498
20,Ni2CoCrCuFe,824,204.8333,165.65,79.78333,0.295,127.6,66.16667,116.1667,6.88,3.883333,5.566667,9,1.666667,4.825,1.833333,1.816667,1.665,1.691667,4.19,0.210954,0.090958,0.244405,0.138043,0.031086,0.202657,0.009187,0.038992,0.071172,0.041831,0.181444,0.282843,0.058849,0.060302,0.043653,0.169086,0.041996,0.079825,0.022176,0.004517,0.03299,0.013789,0.000722,0.033221,4.12E-05,0.000437,0.003141,0.001025,0.016461,0.02,0.001293,0.002645,0.001389,0.020573,0.001006,0.004575
21,Ni(CoCrFe)4,523,226.3868,169.1974,89.40661,0.278016,128.5447,60.5992,116.3327,6.91517,3.743487,5.446132,8.134269,1.733467,4.763527,1.793387,1.786713,1.789319,1.656713,4.293407,0.141145,0.058685,0.176203,0.150425,0.035873,0.024699,0.009242,0.038742,0.068957,0.039139,0.17884,0.255065,0.060062,0.068942,0.048565,0.073035,0.041866,0.030199,0.013165,0.00095,0.020527,0.015457,0.000875,4.61E-05,5.26E-05,0.000382,0.002944,0.000896,0.018276,0.04298,0.000662,0.003096,0.001546,0.003641,0.000881,0.000538
22,Ni2CoCrFe,429,219.8,171.22,86.06,0.286,127.56,60.2,116,6.834,3.82,5.512,8.6,1.8,4.86,1.82,1.81,1.782,1.68,4.33,0.136227,0.054249,0.172308,0.135599,0.034055,0.024414,0.009443,0.039715,0.068063,0.039388,0.174031,0.222222,0.061522,0.064076,0.04714,0.063924,0.043088,0.029791,0.014188,0.000354,0.022643,0.014084,0.000875,9.93E-05,2.97E-05,0.000556,0.00296,0.00093,0.017847,0.037037,0.001258,0.002898,0.001557,0.002932,0.000992,0.000538
23,Al0.3CoCrCuFeNi,1104,198.1132,158.3321,77.46415,0.295283,129.0491,66.60377,116.8868,7.111321,3.830189,5.454906,8.471698,1.679245,4.73283,1.801887,1.793189,1.64566,1.668113,4.097547,0.280733,0.159896,0.312202,0.151682,0.040849,0.21678,0.018997,0.105522,0.076889,0.075987,0.25286,0.342651,0.059635,0.075072,0.050374,0.179938,0.051214,0.092135,0.031435,0.015583,0.044945,0.015678,0.000663,0.035853,0.000273,0.00934,0.002903,0.003645,0.023028,0.028132,0.001408,0.002368,0.0012,0.022292,0.000745,0.004148
24,Al0.1CoCrFeNi,317,220.9756,167.3951,87.05366,0.281707,128.6634,60.2439,116.4634,6.970732,3.756098,5.428537,8.121951,1.780488,4.775122,1.792683,1.788122,1.783902,1.657805,4.280244,0.177801,0.104576,0.208639,0.149561,0.039343,0.036437,0.014823,0.078718,0.0694,0.055774,0.205656,0.263498,0.062655,0.07225,0.05049,0.071337,0.045852,0.044584,0.01632,0.006923,0.024856,0.015592,0.00077,0.000601,0.000127,0.004535,0.00285,0.001528,0.016593,0.04316,0.001241,0.002814,0.001445,0.003535,0.000821,0.001055
25,Al0.4CoCrFeNi,460,210.6818,161.1091,82.90455,0.286364,129.6545,59.54545,117.0455,7.177273,3.738636,5.335909,7.772727,1.863636,4.741364,1.772727,1.776182,1.774091,1.645,4.219545,0.255014,0.178344,0.280989,0.154222,0.047107,0.056095,0.023252,0.129476,0.069485,0.084371,0.265744,0.293697,0.066356,0.081891,0.055001,0.072198,0.053083,0.068804,0.040534,0.025838,0.042502,0.016125,0.000924,0.002317,0.000405,0.014049,0.002454,0.005046,0.034082,0.047591,0.001099,0.002104,0.001106,0.003671,0.001027,0.003467
26,AlCo3CrFeNi,927,176.8571,156.4,68.22857,0.317143,128.3714,64.28571,117.2857,7.257143,3.885714,5.398571,8.428571,2,4.797143,1.828571,1.809,1.615714,1.672857,4.11,0.29001,0.232793,0.300985,0.060098,0.04798,0.210467,0.027236,0.156697,0.052703,0.102817,0.282599,0.267261,0.062306,0.075745,0.045824,0.137198,0.05363,0.103872,0.049705,0.038431,0.052354,0.001461,0.001903,0.034226,0.000617,0.020348,0.001402,0.008647,0.058891,0,0.001526,0.004578,0.001673,0.015673,0.002046,0.00414
27,Al0.25CoCrFeNi,281,215.6471,164.1412,84.90588,0.284118,129.1765,59.88235,116.7647,7.077647,3.747059,5.380588,7.941176,1.823529,4.757647,1.782353,1.781941,1.778824,1.651176,4.248824,0.220708,0.147358,0.248265,0.152255,0.043733,0.047882,0.019821,0.109708,0.069483,0.072286,0.238422,0.281219,0.064682,0.07754,0.052964,0.071835,0.04985,0.058659,0.026724,0.017121,0.029876,0.015912,0.000649,0.001551,0.000283,0.010028,0.002642,0.00347,0.022761,0.045786,0.001007,0.00244,0.001266,0.003611,0.000832,0.002391
28,Al0.375CoCrFeNi,505,211.4857,161.6,83.22857,0.286,129.5771,59.6,117,7.161143,3.74,5.343143,7.8,1.857143,4.744,1.774286,1.777114,1.774857,1.646,4.224286,0.249729,0.173696,0.275901,0.153937,0.0466,0.054877,0.022751,0.126661,0.069489,0.082567,0.261488,0.291903,0.066098,0.081221,0.054687,0.072146,0.052588,0.067296,0.038362,0.024479,0.040193,0.016096,0.000883,0.002201,0.000384,0.013449,0.002484,0.004806,0.03231,0.047337,0.001069,0.002157,0.001132,0.003662,0.000977,0.003304
29,Al0.2CrCuFeNi2,946,198.8462,159.1231,77.29615,0.294231,128.6615,66.34615,116.5385,7.040385,3.865385,5.506538,8.769231,1.653846,4.770385,1.807692,1.804346,1.653462,1.681538,4.120769,0.266796,0.1385,0.301197,0.151459,0.039078,0.220568,0.017526,0.092405,0.079072,0.069168,0.239427,0.332973,0.064808,0.071838,0.051382,0.182203,0.051836,0.091191,0.031234,0.010693,0.046379,0.01572,0.000617,0.037592,0.0002,0.006787,0.003247,0.00258,0.017698,0.021633,0.002313,0.002535,0.001406,0.02313,0.000887,0.004501
30,Al0.3CrCuFeNi2,1014,196.4151,157.5396,76.33208,0.295283,128.9358,66.03774,116.6981,7.096226,3.858491,5.479434,8.660377,1.679245,4.761132,1.801887,1.800736,1.653208,1.677547,4.106981,0.282033,0.156377,0.31554,0.151682,0.041561,0.222066,0.019947,0.107081,0.079513,0.077543,0.256674,0.342651,0.065828,0.075072,0.053007,0.180507,0.054251,0.093807,0.03323,0.015417,0.049166,0.015678,0.000678,0.038136,0.000285,0.009478,0.003128,0.00373,0.023083,0.028132,0.002415,0.002368,0.001322,0.022679,0.000832,0.004258
31,Al0.4CrCuFeNi2,1316,194.0741,156.0148,75.4037,0.296296,129.2,65.74074,116.8519,7.15,3.851852,5.453333,8.555556,1.703704,4.752222,1.796296,1.797259,1.652963,1.673704,4.093704,0.296101,0.171858,0.328903,0.151812,0.043703,0.223428,0.021937,0.118672,0.0799,0.08469,0.272418,0.350533,0.066748,0.07797,0.054467,0.178858,0.056405,0.096179,0.035116,0.019755,0.051819,0.015625,0.000848,0.038634,0.00036,0.011763,0.003014,0.004763,0.030453,0.037282,0.002509,0.002211,0.001243,0.022246,0.001022,0.004027
32,Al0.5CrCuFeNi2,1717,191.8182,154.5455,74.50909,0.297273,129.4545,65.45455,117,7.201818,3.845455,5.428182,8.454545,1.727273,4.743636,1.790909,1.793909,1.652727,1.67,4.080909,0.309172,0.185563,0.34141,0.151862,0.04557,0.224665,0.023619,0.128158,0.080239,0.090921,0.286918,0.356965,0.06758,0.080581,0.055785,0.177253,0.058336,0.098337,0.036897,0.023736,0.054348,0.015562,0.000995,0.03909,0.000412,0.013721,0.002906,0.005691,0.037314,0.044825,0.002598,0.002394,0.001168,0.021828,0.001245,0.003808
33,Al0.6CrCuFeNi2,2127,189.6429,153.1286,73.64643,0.298214,129.7,65.17857,117.1429,7.251786,3.839286,5.403929,8.357143,1.75,4.735357,1.785714,1.790679,1.6525,1.666429,4.068571,0.321377,0.197879,0.353162,0.151841,0.04721,0.225787,0.025067,0.136091,0.080534,0.096436,0.300364,0.362209,0.068333,0.082946,0.056977,0.17569,0.060077,0.100304,0.041579,0.027389,0.056759,0.01549,0.001122,0.039506,0.000482,0.015386,0.002804,0.006524,0.0437,0.05102,0.00268,0.002731,0.001097,0.021427,0.001444,0.0036
34,Al0.7CrCuFeNi2,2263,187.5439,151.7614,72.81404,0.299123,129.9368,64.91228,117.2807,7.3,3.833333,5.380526,8.263158,1.77193,4.727368,1.780702,1.787561,1.652281,1.662982,4.056667,0.332821,0.20907,0.364241,0.151758,0.04866,0.226803,0.026329,0.142826,0.080788,0.10137,0.312902,0.36647,0.069013,0.085095,0.058059,0.174168,0.061654,0.102102,0.046693,0.030738,0.059057,0.015411,0.001232,0.039886,0.000531,0.016784,0.002706,0.007271,0.049644,0.056083,0.002757,0.003031,0.001163,0.02104,0.00162,0.003403
35,AlCrCuFeNi4,1529,196.125,160.7375,76.0625,0.3,128.775,58.625,116.875,7.16875,3.8375,5.38125,8.25,2,4.86,1.8,1.802875,1.75875,1.67125,4.24,0.274714,0.206878,0.297103,0.124722,0.050972,0.059663,0.027539,0.152924,0.067937,0.098698,0.289072,0.25,0.070965,0.083333,0.05704,0.057455,0.059643,0.080249,0.0515,0.035396,0.053717,0.011111,0.001554,0.0027,0.000597,0.019488,0.001984,0.007412,0.050505,0,0.001677,0.003086,0.001386,0.002352,0.001776,0.005012
36,Al0.5CoCrCuFeNi,1349,193.4545,155.3091,75.6,0.297273,129.5636,66,117.1818,7.216364,3.818182,5.404545,8.272727,1.727273,4.716364,1.790909,1.786636,1.645455,1.660909,4.071818,0.308244,0.188799,0.338714,0.151862,0.044869,0.219851,0.022671,0.126628,0.077427,0.08927,0.28274,0.356965,0.061433,0.080581,0.0531,0.176659,0.055209,0.096654,0.036814,0.024021,0.050134,0.015562,0.000973,0.036898,0.000404,0.013526,0.002676,0.005539,0.036732,0.044825,0.001501,0.002394,0.001053,0.02147,0.001172,0.003704
37,CoCrCuFeNi,777,205.8,163.32,80.54,0.292,128.2,67.6,116.4,6.938,3.85,5.538,8.8,1.6,4.76,1.82,1.804,1.646,1.68,4.14,0.229715,0.094827,0.264217,0.150685,0.031896,0.210995,0.008761,0.037078,0.075727,0.044281,0.195507,0.306186,0.056136,0.064076,0.044979,0.185217,0.043088,0.083409,0.027083,0.004801,0.037247,0.015763,0.000738,0.033927,3.54E-05,0.000407,0.00334,0.001074,0.020145,0.015625,0.001236,0.002898,0.001456,0.023606,0.000992,0.004911
38,CoCrFeNi,507,224.75,169.7,88.575,0.28,128.3,60.5,116.25,6.895,3.7625,5.4625,8.25,1.75,4.7875,1.8,1.7925,1.7875,1.6625,4.3025,0.140574,0.057826,0.176079,0.147254,0.03559,0.024793,0.009374,0.039313,0.069291,0.039548,0.179275,0.247436,0.061065,0.068041,0.048535,0.070916,0.042612,0.030321,0.01363,0.000707,0.021381,0.015306,0.000888,1.00E-18,5.55E-05,0.00039,0.003002,0.000917,0.018365,0.040816,0.000941,0.002315,0.001576,0.003474,0.000905,0.000547
39,Al0.5CoCrCu0.5FeNi2,2033,200.83,160.804,78.359,0.2952,128.86,62.26,116.81,7.1118,3.8225,5.4209,8.33,1.83,4.7939,1.8,1.79674,1.7147,1.6681,4.1865,0.265293,0.174946,0.292886,0.141669,0.045141,0.167252,0.02251,0.125201,0.072437,0.083793,0.262494,0.29985,0.066366,0.078174,0.053372,0.127148,0.054231,0.08294,0.033945,0.022667,0.037589,0.014108,0.000985,0.023491,0.000393,0.013194,0.002536,0.004968,0.032486,0.033504,0.001749,0.001975,0.001133,0.010959,0.00108,0.002823
40,Al0.25CoFeNi,637,196.1538,165.4154,75.55385,0.306923,127.0769,59.23077,116.3846,7.030769,3.869231,5.457692,8.538462,2.076923,4.836923,1.838462,1.822538,1.710769,1.679231,4.294615,0.187131,0.166457,0.191501,0.050125,0.03774,0.050499,0.021721,0.125542,0.041033,0.076113,0.208574,0.1283,0.064433,0.058577,0.037389,0.023878,0.044224,0.062618,0.031699,0.022551,0.032813,0.001484,0.001236,0.001864,0.000418,0.013698,0.000681,0.004965,0.031466,0.014773,0.001143,0.002472,0.000989,0.000246,0.001147,0.003409
